ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
90001,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90002,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90003,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90004,"$1,870 ","$2,100 ","$2,650 ","$3,370 ","$3,730 "
90005,"$1,940 ","$2,170 ","$2,740 ","$3,480 ","$3,860 "
90006,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90007,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90008,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90009,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90010,"$2,460 ","$2,760 ","$3,480 ","$4,420 ","$4,900 "
90011,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90012,"$1,870 ","$2,100 ","$2,650 ","$3,370 ","$3,730 "
90013,"$2,060 ","$2,310 ","$2,910 ","$3,700 ","$4,100 "
90014,"$2,510 ","$2,810 ","$3,550 ","$4,510 ","$5,000 "
90015,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
90016,"$1,680 ","$1,890 ","$2,380 ","$3,020 ","$3,350 "
90017,"$1,990 ","$2,230 ","$2,810 ","$3,570 ","$3,960 "
90018,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90019,"$1,800 ","$2,010 ","$2,540 ","$3,230 ","$3,580 "
90020,"$1,890 ","$2,120 ","$2,670 ","$3,390 ","$3,760 "
90021,"$1,630 ","$1,840 ","$2,340 ","$2,990 ","$3,310 "
90022,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90023,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90024,"$2,700 ","$3,030 ","$3,820 ","$4,850 ","$5,380 "
90025,"$2,740 ","$3,070 ","$3,870 ","$4,920 ","$5,450 "
90026,"$1,750 ","$1,970 ","$2,480 ","$3,150 ","$3,490 "
90027,"$2,110 ","$2,360 ","$2,980 ","$3,790 ","$4,200 "
90028,"$1,940 ","$2,170 ","$2,740 ","$3,480 ","$3,860 "
90029,"$1,760 ","$1,970 ","$2,490 ","$3,160 ","$3,510 "
90030,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90031,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90032,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90033,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90034,"$2,210 ","$2,470 ","$3,120 ","$3,960 ","$4,400 "
90035,"$2,380 ","$2,660 ","$3,360 ","$4,270 ","$4,730 "
90036,"$2,750 ","$3,080 ","$3,890 ","$4,940 ","$5,480 "
90037,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90038,"$2,060 ","$2,310 ","$2,910 ","$3,700 ","$4,100 "
90039,"$1,970 ","$2,200 ","$2,780 ","$3,530 ","$3,920 "
90040,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90041,"$1,770 ","$1,990 ","$2,510 ","$3,190 ","$3,540 "
90042,"$1,800 ","$2,010 ","$2,540 ","$3,230 ","$3,580 "
90043,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90044,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90045,"$2,540 ","$2,850 ","$3,590 ","$4,560 ","$5,060 "
90046,"$2,270 ","$2,550 ","$3,210 ","$4,080 ","$4,520 "
90047,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90048,"$2,460 ","$2,760 ","$3,480 ","$4,420 ","$4,900 "
90049,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
90050,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90051,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90052,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90053,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90054,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90055,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90056,"$2,190 ","$2,460 ","$3,100 ","$3,940 ","$4,370 "
90057,"$1,690 ","$1,890 ","$2,390 ","$3,040 ","$3,370 "
90058,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90059,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90060,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90061,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90062,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90063,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90064,"$2,610 ","$2,930 ","$3,690 ","$4,690 ","$5,200 "
90065,"$1,700 ","$1,900 ","$2,400 ","$3,050 ","$3,380 "
90066,"$2,210 ","$2,480 ","$3,130 ","$3,980 ","$4,410 "
90067,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
90068,"$2,330 ","$2,620 ","$3,300 ","$4,190 ","$4,650 "
90069,"$2,590 ","$2,900 ","$3,660 ","$4,650 ","$5,160 "
90070,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90071,"$2,010 ","$2,260 ","$2,850 ","$3,620 ","$4,010 "
90072,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90073,"$2,760 ","$3,090 ","$3,900 ","$4,960 ","$5,500 "
90074,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90075,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90076,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90077,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
90078,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90079,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90081,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90082,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90083,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90084,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90086,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90087,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90089,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90090,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90091,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90093,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90094,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
90095,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90099,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90201,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90202,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90209,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90210,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
90211,"$2,560 ","$2,870 ","$3,620 ","$4,600 ","$5,100 "
90212,"$2,640 ","$2,970 ","$3,740 ","$4,750 ","$5,270 "
90213,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90220,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90221,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90222,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90223,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90224,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90230,"$2,380 ","$2,660 ","$3,360 ","$4,270 ","$4,730 "
